user,first_open,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,enrolled_date,liked
235136,14:51.3,3, 02:00:00,23,15,0,0,0,,0
333588,16:00.9,6, 01:00:00,24,13,0,0,0,,0
254414,19:09.2,1, 19:00:00,23,3,0,1,0,,1
234192,08:46.4,4, 16:00:00,28,40,0,0,1,11:49.5,0
51549,50:48.7,1, 18:00:00,31,32,0,0,1,56:37.8,1
56480,58:15.8,2, 09:00:00,20,14,0,0,1,59:03.3,0
144649,33:18.5,1, 02:00:00,35,3,0,0,0,,0
249366,07:49.9,1, 03:00:00,26,41,0,1,0,,0
372004,22:01.6,2, 14:00:00,29,33,1,1,1,24:54.5,0
338013,22:16.0,4, 18:00:00,26,19,0,0,1,31:58.9,0
43555,48:27.6,1, 04:00:00,39,14,0,0,1,02:17.2,0
317454,07:07.4,1, 11:00:00,32,25,1,1,0,,0
205375,28:45.9,0, 06:00:00,25,11,0,0,0,,0
307608,52:31.8,5, 19:00:00,23,4,0,0,1,27:42.8,0
359855,48:48.9,0, 04:00:00,17,9,0,0,0,,0
284938,41:35.7,5, 18:00:00,25,26,1,0,1,10:04.5,0
235143,07:35.1,6, 16:00:00,21,6,0,0,1,24:09.1,0
141402,12:46.9,5, 21:00:00,55,20,0,0,1,35:03.1,0
257945,59:43.4,4, 05:00:00,32,15,0,0,1,29:36.9,1
54931,34:46.4,5, 17:00:00,25,5,0,0,1,55:54.2,0
165432,19:49.6,4, 09:00:00,28,8,0,1,1,53:03.9,0
236951,02:18.3,5, 04:00:00,38,42,0,1,0,,0
110461,11:46.1,5, 17:00:00,31,9,1,0,1,13:13.1,0
200187,17:36.5,6, 02:00:00,27,42,0,0,1,20:47.7,1
180427,23:46.9,6, 20:00:00,48,1,1,0,1,52:53.2,0
359383,34:40.8,6, 18:00:00,37,38,0,0,1,38:29.1,0
9810,36:36.9,0, 16:00:00,22,49,1,0,1,43:43.0,0
85089,43:05.4,2, 01:00:00,35,35,0,0,1,21:26.7,0
143818,48:41.1,1, 11:00:00,32,19,0,1,1,49:25.6,0
210060,41:24.4,5, 17:00:00,20,10,0,0,0,,0
317171,05:15.0,5, 00:00:00,23,52,0,0,1,06:03.2,0
198725,11:54.3,2, 02:00:00,25,50,0,0,1,14:14.5,1
95362,06:29.5,6, 20:00:00,23,76,0,0,1,48:47.9,0
84738,11:06.0,0, 04:00:00,31,37,0,0,1,13:06.2,0
74128,53:15.4,0, 18:00:00,26,16,1,0,1,55:08.1,0
15995,53:31.1,3, 21:00:00,21,32,0,0,1,59:22.4,0
310250,50:49.3,5, 22:00:00,36,47,0,0,0,,0
133014,50:40.7,3, 16:00:00,24,16,0,0,1,52:08.7,0
280456,10:13.6,6, 22:00:00,25,40,0,0,1,11:41.5,0
133810,57:54.3,0, 10:00:00,23,33,0,0,1,07:55.4,0
171351,42:33.5,1, 06:00:00,25,90,0,0,1,52:13.5,0
342983,21:46.2,1, 08:00:00,23,13,0,1,0,,0
62638,15:00.3,1, 08:00:00,25,24,0,0,0,,0
341292,05:25.2,0, 00:00:00,25,45,0,1,1,06:24.7,1
349927,51:28.6,2, 15:00:00,21,20,0,0,1,04:53.6,1
67588,23:09.5,1, 02:00:00,30,31,0,0,0,,0
187179,38:25.1,4, 14:00:00,58,45,0,0,0,,0
315393,31:53.5,5, 00:00:00,26,24,0,0,1,34:44.2,0
23425,19:26.6,4, 13:00:00,40,16,0,0,1,34:48.1,0
298577,26:10.0,4, 20:00:00,24,39,0,1,0,,0
357863,52:07.3,5, 08:00:00,26,17,0,0,1,49:43.8,0
21700,09:49.0,2, 04:00:00,33,28,0,1,1,12:02.7,1
17739,32:17.2,1, 19:00:00,21,27,0,0,1,33:58.0,0
246710,33:09.9,0, 02:00:00,21,10,0,0,0,,0
69760,54:10.4,4, 03:00:00,57,11,0,0,1,58:35.2,0
335625,57:23.4,1, 04:00:00,22,19,0,0,0,,0
91566,13:51.0,0, 15:00:00,23,39,0,0,0,,0
